
# Surface 0 of 1 surfaces

# Curve title: "'jone_physicsxe_gnu_radn.gnu' using ($3):($4):($5 <= 1 ? 1/0 :$5)"

# Contour 0, label:  2.2e+05
 3.31222  0.195831  220000 
 3.30824  0.214288  220000 
 3.30468  0.229175  220000 
 3.30207  0.239707  220000 
 3.30022  0.247311  220000 
 3.29876  0.253964  220000 
 3.29733  0.261645  220000 
 3.29555  0.272333  220000 
 3.29321  0.287469  220000 
 3.29062  0.30635  220000 
 3.28825  0.327735  220000 
 3.28655  0.350384  220000 
 3.28598  0.373058  220000 
 3.28685  0.394675  220000 
 3.28885  0.414793  220000 
 3.29153  0.433129  220000 
 3.29442  0.449401  220000 
 3.29707  0.463325  220000 
 3.2991  0.474721  220000 
 3.30052  0.483816  220000 
 3.30142  0.490937  220000 
 3.3019  0.496415  220000 
 3.30203  0.500578  220000 
 3.30183  0.503717  220000 
 3.30087  0.505975  220000 
 3.29865  0.507458  220000 
 3.29467  0.50827  220000 
 3.28841  0.508517  220000 
 3.27964  0.50831  220000 
 3.26921  0.507777  220000 
 3.25824  0.507052  220000 
 3.24783  0.506268  220000 
 3.23911  0.505561  220000 
 3.23293  0.505035  220000 
 3.229  0.504685  220000 
 3.22679  0.504477  220000 
 3.22575  0.504377  220000 
 3.22534  0.504351  220000 
 3.22506  0.504538  220000 
 3.22458  0.505766  220000 
 3.22363  0.509034  220000 
 3.22193  0.515345  220000 
 3.21921  0.525697  220000 
 3.21527  0.540629  220000 
 3.21021  0.55883  220000 
 3.20423  0.578524  220000 
 3.19751  0.597939  220000 
 3.19026  0.6153  220000 
 3.18258  0.629255  220000 
 3.17436  0.64014  220000 
 3.1654  0.648711  220000 
 3.15549  0.655728  220000 
 3.14445  0.661948  220000 
 3.13216  0.667958  220000 
 3.1188  0.673669  220000 
 3.10465  0.678821  220000 
 3.08996  0.683156  220000 
 3.075  0.686414  220000 
 3.06  0.688375  220000 
 3.045  0.688983  220000 
 3.03  0.688219  220000 
 3.015  0.686067  220000 
 3  0.682508  220000 
 2.98507  0.677604  220000 
 2.9706  0.67173  220000 
 2.95702  0.665338  220000 
 2.94479  0.658883  220000 
 2.93436  0.652818  220000 
 2.92597  0.647433  220000 
 2.91909  0.642363  220000 
 2.91295  0.637081  220000 
 2.90682  0.63106  220000 
 2.89994  0.623772  220000 

 2.89994  0.623771  220000 
 2.89176  0.614834  220000 
 2.8825  0.604456  220000 
 2.87258  0.592989  220000 
 2.8624  0.580788  220000 
 2.85239  0.568205  220000 
 2.84287  0.555505  220000 
 2.83387  0.542606  220000 
 2.82537  0.529332  220000 
 2.81729  0.515514  220000 
 2.80961  0.500977  220000 
 2.8023  0.485668  220000 
 2.79545  0.470009  220000 
 2.78916  0.454539  220000 
 2.78355  0.439798  220000 
 2.77872  0.426327  220000 
 2.77473  0.414401  220000 
 2.77147  0.403235  220000 
 2.76875  0.39178  220000 
 2.76641  0.378988  220000 
 2.76427  0.363808  220000 
 2.7622  0.345482  220000 
 2.76029  0.324408  220000 
 2.75863  0.301271  220000 
 2.75735  0.27676  220000 
 2.75656  0.251562  220000 
 2.75636  0.226378  220000 
 2.75673  0.20196  220000 
 2.75764  0.179075  220000 
 2.75905  0.15849  220000 
 2.76092  0.140972  220000 
 2.76325  0.126944  220000 
 2.76612  0.115463  220000 
 2.76962  0.105239  220000 
 2.77387  0.094987  220000 
 2.77896  0.0834182  220000 
 2.78496  0.0696073  220000 
 2.79168  0.0540763  220000 
 2.7989  0.0377092  220000 
 2.80639  0.0213899  220000 
 2.81394  0.00600217  220000 
 2.82142 -0.00781142  220000 
 2.82907 -0.0203739  220000 
 2.83725 -0.0322497  220000 
 2.84631 -0.0440032  220000 
 2.85661 -0.0561988  220000 
 2.86828 -0.0691732  220000 
 2.88063 -0.0823521  220000 
 2.89273 -0.0949335  220000 
 2.90366 -0.106115  220000 
 2.91251 -0.115095  220000 
 2.91872 -0.121344  220000 
 2.92313 -0.125422  220000 
 2.92694 -0.12816  220000 
 2.93134 -0.130391  220000 
 2.93754 -0.132947  220000 
 2.94644 -0.13644  220000 
 2.95774 -0.140606  220000 
 2.97083 -0.14496  220000 
 2.98512 -0.149016  220000 
 3.00001 -0.15229  220000 
 3.015 -0.154387  220000 
 3.02998 -0.15527  220000 
 3.04492 -0.154994  220000 
 3.05982 -0.153611  220000 
 3.07464 -0.151175  220000 
 3.0893 -0.147793  220000 
 3.10331 -0.143781  220000 
 3.11615 -0.139511  220000 
 3.12725 -0.135352  220000 
 3.13608 -0.131674  220000 
 3.1423 -0.128605  220000 
 3.14652 -0.1253  220000 
 3.14958 -0.12067  220000 
 3.1523 -0.113628  220000 
 3.15551 -0.103084  220000 
 3.15987 -0.0883797  220000 
 3.16532 -0.0705615  220000 
 3.17164 -0.0511055  220000 
 3.1786 -0.031487  220000 
 3.18597 -0.0131816  220000 
 3.1936  0.00260021  220000 
 3.20166  0.0157079  220000 
 3.2104  0.0262558  220000 
 3.22005  0.0343585  220000 
 3.23087  0.0401304  220000 
 3.24294  0.0438535  220000 
 3.25578  0.0464803  220000 
 3.26874  0.0491308  220000 
 3.28117  0.0529251  220000 
 3.29243  0.0589833  220000 
 3.30197  0.0681853  220000 
 3.30957  0.0804504  220000 
 3.31514  0.095458  220000 
 3.31856  0.112887  220000 
 3.31973  0.132418  220000 
 3.31866  0.153558  220000 
 3.31593  0.175142  220000 
 3.31222  0.195831  220000 


# Contour 1, label:    2e+05
 3.19486 -0.199782  200000 
 3.2086 -0.188741  200000 
 3.22215 -0.177776  200000 
 3.23507 -0.16727  200000 
 3.24711 -0.157399  200000 
 3.25809 -0.148287  200000 
 3.26782 -0.140057  200000 
 3.27611 -0.132834  200000 
 3.28291 -0.126565  200000 
 3.2888 -0.120496  200000 
 3.2945 -0.113696  200000 
 3.30073 -0.105236  200000 
 3.30821 -0.0941852  200000 
 3.3174 -0.0799959  200000 
 3.32771 -0.0636501  200000 
 3.33827 -0.0465126  200000 
 3.34824 -0.0299478  200000 
 3.35675 -0.0153203  200000 
 3.36319 -0.00355448  200000 
 3.36793  0.00618643  200000 
 3.37155  0.0151793  200000 
 3.37465  0.0247011  200000 
 3.37785  0.0360288  200000 
 3.3816  0.0501567  200000 
 3.3859  0.0669488  200000 
 3.39061  0.0859865  200000 
 3.39561  0.106851  200000 
 3.40074  0.129124  200000 
 3.40586  0.152424  200000 
 3.41067  0.176516  200000 
 3.41487  0.201201  200000 
 3.41815  0.226283  200000 
 3.4202  0.251562  200000 
 3.4208  0.276875  200000 
 3.42007  0.302187  200000 
 3.41821  0.3275  200000 
 3.41544  0.352812  200000 
 3.41196  0.378125  200000 
 3.40797  0.403312  200000 
 3.40367  0.42775  200000 
 3.39925  0.450686  200000 
 3.39489  0.471372  200000 
 3.39079  0.489056  200000 
 3.38705  0.503321  200000 
 3.38335  0.515072  200000 
 3.37931  0.525549  200000 
 3.37453  0.535989  200000 
 3.36862  0.547631  200000 
 3.36133  0.561341  200000 
 3.35305  0.576491  200000 
 3.34432  0.592081  200000 
 3.33569  0.607111  200000 
 3.32769  0.620581  200000 
 3.32067  0.631777  200000 
 3.31417  0.641136  200000 
 3.30755  0.64938  200000 
 3.30014  0.657233  200000 
 3.2913  0.665417  200000 
 3.28059  0.674479  200000 
 3.26846  0.684262  200000 
 3.25561  0.694429  200000 
 3.24269  0.704646  200000 
 3.23038  0.714579  200000 
 3.21923  0.723939  200000 
 3.2092  0.732624  200000 
 3.2001  0.740578  200000 
 3.19178  0.747746  200000 
 3.18404  0.754073  200000 
 3.17668  0.759547  200000 
 3.1693  0.764336  200000 
 3.1615  0.768656  200000 
 3.15283  0.772718  200000 
 3.14288  0.776738  200000 
 3.13136  0.78086  200000 
 3.11846  0.784958  200000 
 3.10454  0.788839  200000 
 3.08994  0.792308  200000 
 3.075  0.79517  200000 
 3.06  0.797263  200000 
 3.045  0.79854  200000 
 3.03  0.798989  200000 
 3.015  0.798592  200000 
 3  0.797337  200000 
 2.98504  0.795235  200000 
 2.97034  0.792397  200000 
 2.95614  0.788965  200000 
 2.9427  0.785077  200000 
 2.93027  0.780873  200000 
 2.91904  0.776461  200000 
 2.90892  0.771834  200000 
 2.89974  0.766953  200000 
 2.89135  0.76178  200000 
 2.88359  0.756278  200000 

 2.88359  0.756277  200000 
 2.87625  0.750388  200000 
 2.86894  0.743984  200000 
 2.86122  0.73692  200000 
 2.85264  0.729049  200000 
 2.84277  0.720225  200000 
 2.83136  0.7104  200000 
 2.81896  0.699916  200000 
 2.8063  0.68921  200000 
 2.79412  0.678723  200000 
 2.78316  0.668893  200000 
 2.77395  0.659956  200000 
 2.76611  0.651339  200000 
 2.75909  0.642266  200000 
 2.75229  0.631959  200000 
 2.74516  0.619644  200000 
 2.73728  0.60487  200000 
 2.729  0.588498  200000 
 2.72081  0.571717  200000 
